Название вебстудии,Выполнено проектов,Рейтинг,Год основания,Количество сотрудников,Веб сайт,Стоимость
«WebFormula»,219,10.04,2008,21-30,webformula.pro,50 000 — 800 000
Iarga,81,3.53,2008,8-15,http://iarga.ru/,150 000 — 580 000
Voodoo,101,3.14,2000,8-15,www.voodoo.ru,70 000 — 500 000
«Very-good»,67,3.01,2008,16-20,http://very-good.ru,60 000 — 800 000
Rutorika,30,2.36,2011,21-30,http://rutorika.ru,250 000 — 1 500 000
Майрон,64,2.20,2009,4-7,mairon-studio.ru,-
РуФокс,16,2.01,2004,16-20,http://web.rufox.ru/,60 000 — 2 500 000
"""Топ Медиа""",12,1.99,2001,31-40,http://www.топмедиа.рф/,-
Web112,53,1.63,2009,4-7,http://web112.biz/,100 000 — 5 000 000
BusinessProfi,71,1.61,2005,8-15,http://bizprofi.ru,25 000 — 1 900 000
"""Рашн Роботикс""",28,1.25,2009,21-30,http://rusrobots.ru/,100 000 — 1 500 000
Кватрокс,26,1.21,2005,4-7,www.quatrox.ru,10 999 — 49 999
"""Интернет-Имидж""",12,1.20,2000,8-15,www.internetimage.ru,30 000 — 700 000
OneRule,15,1.17,2015,4-7,http://onerule.ru/,50 000 — 500 000
"""Интернет Коммерсант""",38,1.09,2010,8-15,http://incomyug.ru/,30 000 — 500 000
Zeebra,19,1.07,2013,4-7,www.zeebra.ru,50 000 — 300 000
Малинка,49,1.02,2009,4-7,malinkastudio.com,68 000 — 990 000
New-webstudio,20,1.01,2014,4-7,new-webstudio.ru,20 000 — 200 000
Quartex Group,15,0.97,2003,4-7,http://www.quartex.ru,80 000 — 2 000 000
Southmedia,42,0.94,2008,16-20,http://southmedia.ru,65 000 — 1 000 000
Redham,47,0.93,2009,4-7,www.redhamsites.ru,30 000 — 90 000
XY STUDIO,62,0.89,2012,8-15,xystudio.ru,25 000 — 300 000
KubanTrend,43,0.88,2004,8-15,www.kubantrend.ru,-
Spider Group,14,0.87,2000,21-30,www.spider.ru,190 000 — 2 000 000
Doodah,22,0.86,2011,16-20,http://doodah.ru/,-
WoW DESIGN,16,0.77,2013,1-3,www.wow-design.ru,20 000 — 140 000
creativecult,56,0.62,2013,8-15,http://creativecult.ru,30 000 — 160 000
АЭЛИТА ДИЗАЙН,27,0.56,2006,8-15,aelitadesign.ru,30 000 — 1 000 000
celebro,30,0.53,2011,1-3,http://celebro.ru,25 000 — 500 000
ABP company,20,0.50,2007,8-15,http://abpc.ru,60 000 — 800 000
Viocom,23,0.49,2010,4-7,http://www.viocom.ru/,50 000 — 800 000
Airty,12,0.47,2013,4-7,www.airty.ru,50 000 — 1 000 000
"""Мастер Флеш""",37,0.46,2009,4-7,www.masterflash.ru,18 000 — 100 000
Русь-технология,17,0.45,2009,8-15,http://rus-technologia.ru/,30 000 — 160 000
"""Лаборатория продаж""",18,0.45,2014,8-15,http://labsales.ru/,30 000 — 500 000
"""Бизнес Код""",26,0.45,2008,4-7,www.icbcode.ru,40 000 — 400 000
Mobido,5,0.45,2004,4-7,http://kubancom.ru,-
"""Контраст""",11,0.42,2010,4-7,thecontrust.ru,60 000 — 3 000 000
"""Регион""",54,0.38,2010,4-7,http://rv36.ru/,15 000 — 250 000
BIKRASNODAR №1,74,0.37,2011,-,bigkrasnodar.ru,20 000 — 500 000
AVN-GROUP,16,0.35,2009,4-7,avn-group.ru,40 000 — 1 000 000
AdVerbs,9,0.32,2013,8-15,adverbs.ru,10 000 — 200 000
Devorcs,26,0.25,2011,4-7,http://devorcs.com/ru,50 000 — 750 000
"""Рекламные Сети""",7,0.25,2012,8-15,reklamnyeseti.ru,35 000 — 400 000
Web-Resource,20,0.24,2013,4-7,http://web-resource.pro/,40 000 — 800 000
Round Interactive,12,0.24,2009,8-15,http://www.round-interactive.ru,60 000 — 1 000 000
LaFedja,23,0.23,2007,4-7,http://lafedja.ru,65 000 — 300 000
"""Белый Шар""",11,0.23,2005,4-7,http://wssd.ru,15 000 — 120 000
РИЦ САДДАТ,18,0.23,2007,4-7,saddat.ru,15 000 — 350 000
ReadyScript lab.,7,0.22,2011,4-7,readyscript.ru,80 000 — 160 000
PlatZkart,6,0.19,2004,-,http://platzkart.ru/,200 000 — 1 500 000
WYKIWYL,10,0.17,2004,21-30,http://wykiwyl-pro.ru/,15 000 — 300 000
Бородачев Роман,11,0.17,2010,1-3,www.free-lance.ru/users/artpixels,-
Студия snegurow.ru,13,0.15,2001,1-3,http://www.snegurow.ru,27 070 — 70 350
Regrafica,5,0.15,2014,4-7,http://regrafica.ru,60 000 — 300 000
EyeFly,24,0.15,2008,4-7,eyefly.ru,40 000 — 1 000 000
"""Максимум""",9,0.15,2010,4-7,http://studio-maximum.ru/,25 000 — 700 000
IVUX,10,0.14,2011,4-7,ivux.ru,9 990 — 160 000
Darkheart,13,0.14,2011,1-3,http://darkheart.ru,30 000 — 300 000
"""БитСайт""",10,0.13,2009,8-15,bitsite.ru,30 000 — 1 000 000
BadStudio,11,0.13,2015,1-3,badstudio.ru?utm_source=cmsmagazine.ru,25 000 — 600 000
Re:Say Group,15,0.13,2011,4-7,http://resay.ru,-
Webemot,10,0.11,2013,4-7,http://webemot.com,50 000 — 1 500 000
РГ Зеркало,10,0.10,2003,21-30,www.zerkalo-k.ru,25 000 — 250 000
"""Департамент Дизайна""",7,0.09,2009,16-20,www.artassist.ru,30 000 — 500 000
КИТ,11,0.08,2014,4-7,stdkit.ru,15 000 — 200 000
Биатум,10,0.08,2008,8-15,beatum-site.ru,40 000 — 200 000
Digital Set,12,0.08,2011,4-7,digital-set.ru,15 000 — 90 000
IT-DELTA,5,0.08,2009,21-30,it-delta.ru,100 000 — 800 000
М.Програм,9,0.07,2010,1-3,mprogram.ru,15 000 — 1 000 000
СеоСемантика,9,0.05,2010,4-7,http://seosema.ru/,12 000 — 100 000
КИТ-Реклама,16,0.05,2016,4-7,kit-reklama.ru,25 000 — 140 000
AVFsite,9,0.05,2010,1-3,www.avfsite.ru,15 000 — 100 000
ЮГ-ВебДизайн,7,0.05,2014,4-7,yug-webdesign.ru,20 000 — 120 000
Аванзет,5,0.04,2012,4-7,a1z.ru,46 000 — 320 000
Weblines,9,0.04,2010,-,http://weblines.org,45 000 — 400 000
Artworkshop,8,0.02,2015,4-7,artworkshop.pro,15 000 — 300 000
RedGarnet,5,0,2010,4-7,http://www.redgarnet.ru,-
